USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root              6334   0.0  0.0 435340144   2576   ??  Ss    8:26PM   0:00.07 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
namananand        6328   0.0  0.0 435345456   3984   ??  S     8:26PM   0:00.35 /usr/libexec/milod
namananand        6326   0.0  0.0 435340400   2656   ??  S     8:26PM   0:00.05 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
namananand        6329   0.0  0.0 435305376   2672   ??  S     8:26PM   0:00.10 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
namananand        6330   0.0  0.0 435305216   1936   ??  S     8:26PM   0:00.05 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
namananand        6332   0.0  0.0 435346128   3728   ??  S     8:26PM   0:00.31 /usr/libexec/appleaccountd
root              6331   0.0  0.0 435340448   4032   ??  Ss    8:26PM   0:00.34 /usr/libexec/PowerUIAgent
root              6323   0.0  0.0 435340384   4080   ??  Ss    8:26PM   0:00.20 /usr/libexec/powerexperienced
namananand        6327   0.0  0.0 435349504   3408   ??  S     8:26PM   0:00.06 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
root              6322   0.0  0.0 435305472   2256   ??  Ss    8:26PM   0:00.43 /usr/libexec/securityd_system
namananand        6310   0.0  0.0 435342528   3360   ??  S     8:26PM   0:00.17 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
namananand        6302   0.0  0.1 435420560   4336   ??  S     8:26PM   0:00.98 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
namananand        6301   0.0  0.0 435340192   3584   ??  S     8:26PM   0:00.14 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
